4632,5298
72,3710
123,8386
60,6072
4217,6816
265,3977
5138,8768
2378,5155
5344,8856
2411,8883
1149,7098
694,5602
859,1537
894,2301
5878,7209
2138,9979
776,7154
1001,6807
3182,5521
5135,7277
6906,9428
807,1508
7974,9863
4766,5186
1443,4072
7282,9297
427,4607
5907,9702
4374,9821
5338,9790
74,1704
7330,9615
3384,9679
702,2888
85,6400
7044,8103
36,8876
1646,8863
889,9155
2521,3630
6075,8919
1743,5494
4834,5011
6197,7059
742,7310
399,1520
6048,6487
2128,3294
3941,5921
3429,7426
1694,5995
4257,8335
3176,7857
944,8320
1857,4667
5841,7656
6412,9504
5652,8458
5851,7906
6802,6945
1729,2381
6069,7553
3187,4104
209,3827
1529,2878
1301,9057
7557,7978
514,1388
104,8069
4437,5886
4469,7374
1879,2834
3777,7510
1632,7245
3316,7314
2886,9333
6271,8866
8581,8697
7480,9710
7313,8985
6057,6733
8078,8936
