MatrixSizes = [20, 50, 100,200]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
Precision@0.9=0.9935,Recall-Score@0.9=923,

M=100,s_low=0.3,s_high=0.7:
Precision@0.7=0.9981666666666668,Recall-Score@0.7=1019,
Precision@0.8=0.9981666666666668,Recall-Score@0.8=1019,
Precision@0.9=0.9908333333333332,Recall-Score@0.9=1004,

M=100,s_low=0.3,s_high=0.8:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1006,

M=100,s_low=0.3,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=1010,
Precision@0.8=0.9995,Recall-Score@0.8=1010,
Precision@0.9=0.992,Recall-Score@0.9=995,

M=100,s_low=0.4,s_high=0.7:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.9915,Recall-Score@0.9=1004,

M=100,s_low=0.4,s_high=0.8:
Precision@0.7=0.9975,Recall-Score@0.7=1019,
Precision@0.8=0.9975,Recall-Score@0.8=1019,
Precision@0.9=0.9905,Recall-Score@0.9=1005,

M=100,s_low=0.4,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1014,
Precision@0.8=1.0,Recall-Score@0.8=1014,
Precision@0.9=0.992,Recall-Score@0.9=998,

M=100,s_low=0.5,s_high=0.7:
Precision@0.7=0.9985,Recall-Score@0.7=1019,
Precision@0.8=0.9985,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1006,

M=100,s_low=0.5,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1014,
Precision@0.8=1.0,Recall-Score@0.8=1014,
Precision@0.9=0.993,Recall-Score@0.9=1000,

M=100,s_low=0.5,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1011,
Precision@0.8=1.0,Recall-Score@0.8=1011,
Precision@0.9=0.9925,Recall-Score@0.9=996,

M=100,s_low=0.6,s_high=0.7:
Precision@0.7=0.9995,Recall-Score@0.7=1009,
Precision@0.8=0.9995,Recall-Score@0.8=1009,
Precision@0.9=0.992,Recall-Score@0.9=994,

M=100,s_low=0.6,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1015,
Precision@0.8=0.9995,Recall-Score@0.8=1015,
Precision@0.9=0.992,Recall-Score@0.9=1000,

M=100,s_low=0.6,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1009,
Precision@0.8=1.0,Recall-Score@0.8=1009,
Precision@0.9=0.9935,Recall-Score@0.9=996,

M=100,s_low=0.7,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1009,
Precision@0.8=0.9995,Recall-Score@0.8=1009,
Precision@0.9=0.993,Recall-Score@0.9=996,

M=100,s_low=0.7,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1013,
Precision@0.8=1.0,Recall-Score@0.8=1013,
Precision@0.9=0.9935,Recall-Score@0.9=1000,

M=100,s_low=0.8,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=577,
Precision@0.8=1.0,Recall-Score@0.8=577,
Precision@0.9=0.996,Recall-Score@0.9=569,

M=200,s_low=0.3,s_high=0.7:
Precision@0.7=0.995,Recall-Score@0.7=1019,
Precision@0.8=0.995,Recall-Score@0.8=1019,
Precision@0.9=0.9885,Recall-Score@0.9=1006,

M=200,s_low=0.3,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.993,Recall-Score@0.9=1005,

M=200,s_low=0.3,s_high=0.9:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1006,

M=200,s_low=0.4,s_high=0.7:
Precision@0.7=0.9985,Recall-Score@0.7=1019,
Precision@0.8=0.9985,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1006,

M=200,s_low=0.4,s_high=0.8:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1006,

M=200,s_low=0.4,s_high=0.9:
Precision@0.7=0.998,Recall-Score@0.7=1019,
Precision@0.8=0.998,Recall-Score@0.8=1019,
