
MatrixSizes = [30,35,40,45]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
Precision@0.8=1.0,Recall-Score@0.8=996,
Precision@0.9=0.993,Recall-Score@0.9=982,

M=40,s_low=0.3,s_high=0.7:
Precision@0.7=0.9995,Recall-Score@0.7=1019,
Precision@0.8=0.9995,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1005,

M=40,s_low=0.3,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1004,

M=40,s_low=0.3,s_high=0.9:
Precision@0.7=0.9985,Recall-Score@0.7=1019,
Precision@0.8=0.9985,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1006,

M=40,s_low=0.4,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.9925,Recall-Score@0.9=1004,

M=40,s_low=0.4,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1019,
Precision@0.8=0.9995,Recall-Score@0.8=1019,
Precision@0.9=0.993,Recall-Score@0.9=1006,

M=40,s_low=0.4,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=990,
Precision@0.8=1.0,Recall-Score@0.8=990,
Precision@0.9=0.993,Recall-Score@0.9=976,

M=40,s_low=0.5,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.9935,Recall-Score@0.9=1005,

M=40,s_low=0.5,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1018,
Precision@0.8=1.0,Recall-Score@0.8=1018,
Precision@0.9=0.992,Recall-Score@0.9=1002,

M=40,s_low=0.5,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=989,
Precision@0.8=1.0,Recall-Score@0.8=989,
